Time,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Title,Brief Description,Documentation full Link,Notes,Comments
09:00,a,a,a,a,a,a,a,Bank Holiday Telephone Line Checking,Call certain numbers to confirm that the appropriate call treatment is being applied,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010070,"Bank Holidays for UK, Ireland and Barcelona only",
09:30 15:00,,,,,,,a,Documentation Review,Go to our secure site and review all documentations that are due for review,http://intranetemea.cshare.net/uk/cts/BusinessServices/ServiceCentre/Ops/Secure/default.aspx,,
10:10,a,a,a,a,a,a,a,DUALLOGDISK_I11 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
11:30,,,,,,a,a,Broadcast Health Check,Operations are required to perform regular checks out of hours on the health and status of the Broadcast system,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Da5c3e579dbf13fc01cd6d77648961907%26sysparm_rank%3D1%26sysparm_tsqueryId%3D6e318758dbda734040b62c23ca961973,"IMPORTANT: if we receive a failure, check the links first before calling out.","http://brsavbcast1.emea.cshare.net/BroadcastHealthCheck/
http://brspvbcast1.emea.cshare.net/BroadcastHealthCheck/"
12:00,a,a,a,a,a,a,a,Workflow Service Monitoring at 12.00 a.m. and 12.00 p.m.,Check various Workflow services,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Ddcfcf756dbb937441cd6d776489619b6%26sysparm_rank%3D3%26sysparm_tsqueryId%3De432cbd8dbda734040b62c23ca961989,,
12:00,a,a,a,a,a,a,a,Workflow Admin Items Check,Check Workflow items that have failed and been moved to the Administration Workstep,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Dc55dfb5adbb937441cd6d776489619e4%26sysparm_rank%3D2%26sysparm_tsqueryId%3Db692871cdbda734040b62c23ca961917,,
12:10,a,a,a,a,a,a,a,DUALLOGDISK_I1 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
13:00,,,,,,,a,Backup checksheet checks,Weekly checks to ensure that all entries on the previous weeks backup checks sheets are complete and tidy (no empty entries / missing SD numbers.. Chase up and complete as needed). This is critical given that the checksheets are auditable evidence and missing evidence is a fail.,\\Brscfp1c\wrkgroup\CS Operations\EMEA\Checksheets\Backup Checksheets,,
13:00 19:00,,,,,,a,,Boardworks and GEMS smoke  Tests,When we have confirmation that maintenance is completed perform Boardworks and GEMS smoke Tests,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010075,Downtime Only,
13:00 19:00,,,,,,a,,CCS Systems Smoke Tests,When we have confirmation that maintenance is completed perform CCS Systems Smoke Tests,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Da6076139dbb53fc01cd6d776489619af%26sysparm_rank%3D1%26sysparm_tsqueryId%3D8723835cdbda734040b62c23ca9619a7,Downtime Only,
13:00 19:00,,,,,,a,,Web Smoke Tests,When we have confirmation that maintenance is completed perform Web Smoke Tests,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D703ad7c2db713f0440b62c23ca96194b%26sysparm_rank%3D2%26sysparm_tsqueryId%3D6443835cdbda734040b62c23ca961938,Downtime Only,
14:10,a,a,a,a,a,a,a,DUALLOGDISK_I2 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
14:30,,,,,,a,a,Broadcast Health Check,Operations are required to perform regular checks out of hours on the health and status of the Broadcast system,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Da5c3e579dbf13fc01cd6d77648961907%26sysparm_rank%3D1%26sysparm_tsqueryId%3D6e318758dbda734040b62c23ca961973,"IMPORTANT: if we receive a failure, check the links first before calling out.","http://brsavbcast1.emea.cshare.net/BroadcastHealthCheck/
http://brspvbcast1.emea.cshare.net/BroadcastHealthCheck/"
14:30,a,a,a,a,a,a,a,Create VMS Backup Checksheet,Create today?s backup checksheet for the VMS backups.,\\Brscfp1c\wrkgroup\CS Operations\EMEA\Checksheets\Backup Checksheets,,
14:30,a,a,a,a,,,,Create Networker Backup Checksheet,Create today?s backup checksheet for the Networker backups.,\\Brscfp1c\wrkgroup\CS Operations\EMEA\Checksheets\Backup Checksheets,,
14:30,,,,,a,,,Create Weekend Networker Backup Checksheet,"If it is the first weekend of the month, create the MONTHLY backup checksheets for the Networker backups. If it is a CTS Scheduled Maintenance Weekend (check using link in Comments box), create the DOWNTIME backup checksheets for Networker backups. Otherwise, create the WEEKLY backup checksheets for the Networker backups.",\\Brscfp1c\wrkgroup\CS Operations\EMEA\Checksheets\Backup Checksheets,,http://intranetemea.cshare.net/uk/cos/BIG/Lists/System%20Downtimes%20Events%20%20Out%20of%20Hours%20Planner/Upcoming%20Events.aspx
15:00,a,a,a,a,a,a,a,Workflow Service Monitoring,Check the BatchItemCreate and Workflow Inbox services,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Db8b30b9cdbda734040b62c23ca96193f,,
15:30,a,a,a,a,a,,,STRATE recon process,"Check the email generated by the strate recon process. If successful it will say The DCL CCS_CSDP_RECON.COM has been submitted.
If the files are not found in disk$export:[strate] by 17:30 SA Time (15:30 GMT) escalate to SA ITPSG.
(excluding SA Bank Holidays)",https://computershare.service-now.com/kb_view.do?sys_kb_id=44376862db75b7441cd6d77648961905&sysparm_rank=1&sysparm_tsqueryId=f2490feadb5ccc908c78ce613996194c,,DISK$EXPORT:[STRATE]
16:00 16:30,a,a,a,a,a,a,,Bank File Processing,"Release the FNB_PRE_BANK_PROCESS job on the HOUSEKEEPINGBANK  queue
The BANK_FILE_PROCESS job on the HOUSEKEEPINGBANK queue can now be released as long as the above job has completed and all Bank files have been received. If not, investigate and escalate to the Shift Manager",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010064,"NOTE: The Bank File Process job MUST run before the ACCURATE_BANKFEED_CONCAT job at 21:00 ? If a Bank file is going to be delayed for longer than this, then the Bank_File_Process job should be run when the rest of files have been received, then run again as soon as the ?problem? file is delivered","JD HOUSEKEEPINGBANK
SERL > FNB_PRE_BANK_PROCESS & BANK_FILE_PROCESS"
16:00 16:30,a,a,a,a,a,a,a,SMS Message Test ,Send SMS messages from each site and each VMS cluster to the Ops mobile and confirm receipt. ,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Dc79530a6dbbdb7441cd6d776489619a3%26sysparm_rank%3D1%26sysparm_tsqueryId%3Db7a70fd0db1e734040b62c23ca961919,"If any are received from the VMS Backup Modem, retry the test. If you still fail to receive any from the Primary Modem, reboot the modem.",
16:00 16:30,a,a,a,a,a,,,HML Batch processing schedule,"Ensure that Client support requests (App support) have emailed us the HML processing schedules for HMLPMSL, HMLPPHS and HMLPHLM.
*On Fridays, we should receive either a set of schedules if there is processing due to take place, or a confirmation email stating that there is no additional processing.*
If not received by 16:30 you will need to email ClientSupportRequests@hml.co.uk and query this. Make sure these are checked and any irregularites are checked with App Support - then put them in the HANDOVER (not completed) folder.",,IMPORTANT: If any jobs are on hold in JCM but are missing from the Processing schedule then please enquire with the Client support team.,
16:10,a,a,a,a,a,a,a,DUALLOGDISK_I3 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
17:00,,,,,,,a,Update DR Documentation,Get the shift TL to download the current version of every doc from SNOW and replace the copy in the operations folder for DR purposes.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010483,,"Filters:
Workflow Is Published
Knowledge base Is GL GTS SO Operations SO

Destination Location:
\\brscfp1c\wrkgroup\CS Operations\Documents\SNOW Documentation (BCP)"
17:00 17:15,,,,,,,a,Abort any production running Defrags,Stop any running defrags before the nightly VMS backup snaps start.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D7f0a3ef5db3533041cd6d77648961925%26sysparm_rank%3D2%26sysparm_tsqueryId%3D82190b54db1e734040b62c23ca961910,,
17:30,,,,,,a,a,Broadcast Health Check,Operations are required to perform regular checks out of hours on the health and status of the Broadcast system,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Da5c3e579dbf13fc01cd6d77648961907%26sysparm_rank%3D1%26sysparm_tsqueryId%3D6e318758dbda734040b62c23ca961973,"IMPORTANT: if we receive a failure, check the links first before calling out.","http://brsavbcast1.emea.cshare.net/BroadcastHealthCheck/
http://brspvbcast1.emea.cshare.net/BroadcastHealthCheck/"
17:45 18:30,a,a,a,a,a,,,CREST Reconciliation,"We will start reconciling the days data with Euroclear and sending out a confirmation email once finished stating that CREST Rec has been completed. If Crest Rec is delayed past 18:30, follow the Crest Rec Delay Doc and send a communication.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D23ad7ad4db0e77081cd6d77648961993%26sysparm_rank%3D1%26sysparm_tsqueryId%3Dcf490394db1e734040b62c23ca96199c,,Crest Rec Delay Doc
18:00,,,,,,,a,Ensure that CREST has been restarted following the defrag,"Abort the CRESTDISK defrag if it hasn?t already finished or been aborted. Then restart CREST as outlined in the defragging procedure, and make sure it is all running okay. Crest monitor link below:
http://scukpr:2082/get_scrip_information/html_crest_summary.scrip",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010464,,
18:10,a,a,a,a,a,a,a,DUALLOGDISK_I4 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
19:00 20:00,a,a,a,a,a,a,a,Monthly Checksheet,Check the Monthly Checksheet. Ensure any tasks to be completed on this shift are allocated.,\\Brscfp1c\wrkgroup\CS Operations\EMEA\Checksheets\Monthly Checksheets,,
19:00 19:15,a,a,a,a,a,a,a,NICE Call Recording Check,Check calls are being recorded within NICE and ensure calls are paused when card transactions take place.,https://computershare.service-now.com/kb_view.do?sys_kb_id=884d8deadb353b441cd6d776489619b9&sysparm_rank=2&sysparm_tsqueryId=ba4e02d01b9d8050eede40c8cc4bcbaa,IMPORTANT: Remember to log back into your extension.,https://csevniceengage1.emea.cshare.net/NiceApplications/Desktop/XbapApplications/NiceDesktop.xbap
19:10 19:25,a,a,a,a,a,,,hold the CSB1 queue,"At 7:10pm, each weekday, we should hold the CSB1 queue. Starting it again at 7:25pm (DO NOT FORGET TO TAKE IT OFF HOLD). This is a reminder to everyone. ",,,
20:00,a,a,a,a,a,a,,ODR Reporting Suites Check,"Log on to the Reporting Suites page and ensure the service is active. Resubmit any failed jobs as necessary, any in error with Status ""Failed Skeys"" tick the box next to the job and click ""Approve Skey Errors"" at the top of the screen.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D47d612561b9cc45ceede40c8cc4bcb87%26sysparm_rank%3D3%26sysparm_tsqueryId%3D25e4c00e1bbc0454eede40c8cc4bcbea,Please follow documentation on how to resubmit jobs.,http://csevgplansetlp2/Config/JobQueue
20:00,a,a,a,a,a,a,a,ICD Status Check,"Ops should receive an email at 20:00 with the status of the ICDs on VMS. Please go through each ICD and release where able. This is to ensure the automated process has enough ICDs to complete each company copy. If you are unsure, ask your Team Lead.",,,
20:10,a,a,a,a,a,a,a,DUALLOGDISK_I5 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
20:30,a,a,a,a,a,a,a,Broadcast Health Check,Operations are required to perform regular checks out of hours on the health and status of the Broadcast system,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Da5c3e579dbf13fc01cd6d77648961907%26sysparm_rank%3D1%26sysparm_tsqueryId%3D6e318758dbda734040b62c23ca961973,"IMPORTANT: if we receive a failure, check the links first before calling out.","http://brsavbcast1.emea.cshare.net/BroadcastHealthCheck/
http://brspvbcast1.emea.cshare.net/BroadcastHealthCheck/"
20:50,,,,,,,a,Hold the QUICKT queue,"At 8.50pm, each Sunday, we should hold the QUICKT queue. Starting it again at 9.10pm. (DO NOT FORGET TO TAKE IT OFF HOLD). This is a reminder to everyone. ",,,
20:50,,,,,,a,,Hold the FILCHK queue,"At 8.50pm, each Saturday, we should hold the FILCHK queue. Starting it again at 9.10pm. (DO NOT FORGET TO TAKE IT OFF HOLD). This is a reminder to everyone.",,,
21:45 22:00,a,a,a,a,a,a,a,Legacy Warehouse Daily Checks,The legacy data warehouse sends out an email to the Ops email address at approximately 21:45 from the SQL Agent. This is just confirming that the SQL Agent is up and running and working correctly. If this email is not received by 22:00 then HML Database Services on call will need to be contacted to investigate. The email is sent from the account ?Legacy Production? this should only contain the message of ?msdb.dbo.sp_send_dbmail test from CSESQL41CINS1\INS1 to sqlts@hml.co.uk;CPUCTSOperations-Alerts@hml.co.uk?.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010361,,
22:00,a,a,a,a,a,a,,ODR Reporting Suites Check,"Log on to the Reporting Suites page and ensure the service is active. Resubmit any failed jobs as necessary, any in error with Status ""Failed Skeys"" tick the box next to the job and click ""Approve Skey Errors"" at the top of the screen.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D47d612561b9cc45ceede40c8cc4bcb87%26sysparm_rank%3D3%26sysparm_tsqueryId%3D25e4c00e1bbc0454eede40c8cc4bcbea,Please follow documentation on how to resubmit jobs.,http://csevgplansetlp2/Config/JobQueue
22:10,a,a,a,a,a,a,a,DUALLOGDISK_I6 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
23:00 23:30,,,,,,,a,Updating CSS-LNK on Handover and Test,"Refresh the INVADD, LNKCTL and INVLNK ISAM files on Handover and Test from Production.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Dcf485c66db3d77441cd6d77648961936%26sysparm_rank%3D1%26sysparm_tsqueryId%3D590b0398db1e734040b62c23ca96190f,,
23:00 23:30,,,,,,,a,Updating SCRIP-CNTROL on Handover and Test,Refresh the LSESEC ISAM file on Handover and Test from Production.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D88b7d8eedbf977441cd6d77648961904%26sysparm_rank%3D1%26sysparm_tsqueryId%3Dcc2bcf98db1e734040b62c23ca961945,,
23:30,a,a,a,a,a,a,a,Broadcast Health Check,Operations are required to perform regular checks out of hours on the health and status of the Broadcast system,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Da5c3e579dbf13fc01cd6d77648961907%26sysparm_rank%3D1%26sysparm_tsqueryId%3D6e318758dbda734040b62c23ca961973,"IMPORTANT: if we receive a failure, check the links first before calling out.","http://brsavbcast1.emea.cshare.net/BroadcastHealthCheck/
http://brspvbcast1.emea.cshare.net/BroadcastHealthCheck/"
00:00,a,a,a,a,a,a,,ODR Reporting Suites Check,"Log on to the Reporting Suites page and ensure the service is active. Resubmit any failed jobs as necessary, any in error with Status ""Failed Skeys"" tick the box next to the job and click ""Approve Skey Errors"" at the top of the screen.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D47d612561b9cc45ceede40c8cc4bcb87%26sysparm_rank%3D3%26sysparm_tsqueryId%3D25e4c00e1bbc0454eede40c8cc4bcbea,Please follow documentation on how to resubmit jobs.,http://csevgplansetlp2/Config/JobQueue
00:00,a,a,a,a,a,a,a,Workflow Service Monitoring at 12.00 a.m. and 12.00 p.m.,Check various Workflow services,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Ddcfcf756dbb937441cd6d776489619b6%26sysparm_rank%3D3%26sysparm_tsqueryId%3De432cbd8dbda734040b62c23ca961989,,
00:00,a,a,a,a,a,a,a,Workflow Admin Items,Check Workflow items that have failed and been moved to the Administration Workstep,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Dc55dfb5adbb937441cd6d776489619e4%26sysparm_rank%3D2%26sysparm_tsqueryId%3Db692871cdbda734040b62c23ca961917,,
00:00 01:00,a,,,,,,,Stats Gathering,Collate the week?s stats and send them to !UK CTS SCRIP Out of Hours,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D8c57beb0dbf4f700a28eab8b4b961942%26sysparm_rank%3D1%26sysparm_tsqueryId%3Df07c4b1cdb1e734040b62c23ca96195e,,
00:15 00:30,a,,,,,,,Check CSS-LNK FILCHK,"Check the CSS1 queue and ensure that the FILCHK for CSS-LNK has completed. If it is still running, abort the FILCHK and make sure that no blocks have been left on CSS-LNK",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010325,,
00:15 00:30,a,a,a,a,a,a,a,Unavailable Crest Company Check,"Check DISSYS for unavailable crest companies (option 7 ? 1)
Any companies showing as in error/unavailable should be investigated.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010448,,
00:50 01:10,,,,,,a,,Hold the OPTIMIZE queue,"At 00:50, each Sunday morning (ie Saturday night shift), we should hold the OPTIMIZE queue. Starting it again at 01:10. (DO NOT FORGET TO TAKE IT OFF HOLD). This is a reminder to everyone.",,,
01:00 03:00,a,a,a,a,a,a,a,HML UKAR Amigo File Check,Ensure we have received the successful emails as detailed in the documentation.  In the event of a failure email received or the email hasn?t been delivered to us by 3am then we need to escalate to the HML WEB Environments on call person.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010369,,
02:00,a,a,a,a,a,,,HSB ES_OD Check,"Check the CSE4 queue and ensure that the HSB ES_OD job has completed. If it hasn't started, find out why and kick the job off.",,It's important that the job completes before 4AM. ,
02:00,a,a,a,a,a,a,,ODR Reporting Suites Check,"Log on to the Reporting Suites page and ensure the service is active. Resubmit any failed jobs as necessary, any in error with Status ""Failed Skeys"" tick the box next to the job and click ""Approve Skey Errors"" at the top of the screen.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D47d612561b9cc45ceede40c8cc4bcb87%26sysparm_rank%3D3%26sysparm_tsqueryId%3D25e4c00e1bbc0454eede40c8cc4bcbea,Please follow documentation on how to resubmit jobs.,http://csevgplansetlp2/Config/JobQueue
02:00,a,a,a,a,a,a,a,Check VMS Backups are executing,Login to all non-production clusters and see if all VMS backups are executing & check all the relevant queues (especially the NW_TFDEV queues) are started. ,,,
02:10,a,a,a,a,a,a,a,DUALLOGDISK_I7 Check,Ensure the DUALLOGDISK Backup AND Clone job runs to successful completion.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010467,,
02:15,a,a,a,a,a,,,CRESTREC amalgamated timings,"Save the  AMAL_CRESTREC_STATS.CSV file in tonight's received CRESTREC amalgamated timings email to W:\CS Operations\Crest Process Active Time Macro\data overwriting the file already there. Open W:\CS Operations\Crest Process Active Time Macro\Crest Process Active Time Stats.xlsm, click the refresh button and save the file.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010438,,"W:\CS Operations\EMEA\Documents\Crest Process Active Time Macro\data
W:\CS Operations\EMEA\Documents\Crest Process Active Time Macro\Crest Process Active Time Stats.xlsm"
02:30,a,a,a,a,a,a,a,Broadcast Health Check,Operations are required to perform regular checks out of hours on the health and status of the Broadcast system,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Da5c3e579dbf13fc01cd6d77648961907%26sysparm_rank%3D1%26sysparm_tsqueryId%3D6e318758dbda734040b62c23ca961973,"IMPORTANT: if we receive a failure, check the links first before calling out.","http://brsavbcast1.emea.cshare.net/BroadcastHealthCheck/
http://brspvbcast1.emea.cshare.net/BroadcastHealthCheck/"
02:30,a,a,a,a,a,a,a,Review of the HOLDING & PENDING JOBS 02:30,"Although not an exhaustive list, if there is an issue, checking at this point would show a large number of pending jobs and would be good indicator of a serious issue (such as job failures). ",,,
02:45 03:00,a,a,a,a,a,a,a,Accurate/Citadel Job Check,Check weather the ACCURATE and CITADEL jobs have run in time and rerun jobs if necessary,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D933c016edbf13b441cd6d776489619e5%26sysparm_rank%3D1%26sysparm_tsqueryId%3D48ed8f10db5e734040b62c23ca9619ea,,Section 3.5.1 ACCURATE/CITADEL JOBS
