Time,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Title,Brief Description,Documentation full Link,Notes,Comments
"  22:30 GMT
17:30 EST",a,a,a,a,a,a,a,Create Backup Checksheets,"Create Backup Checksheets for both VMS & Server Networker backups. Templates are found in comments section.
See Documentation ",W:\CS Operations\NA\Checksheets\Backup Checksheets,,
"  23:00 GMT
18:30 EST",a,a,a,a,a,,,Check Handover/Service Point for Fast Terms / AD-HOC Processing,"Before running the batch, check the handover/emails to see if there’s any ad-hoc processing this evening that requires special attention. This could be Fast Terminations, in which these need to run at 18:30 EST promptly, or you may be asked to bring forward an update (which doesn’t require any authorisation if from a product support team if to run after 17:00 EST). Or release a certain job after update. There could be multiple things that can be requested.",,,
"  23:45 GMT
18:45 EST",a,a,a,a,a,,,Run SETQUE Command and Change Queue Limits,"Run SETQUE command, confirm all queues are started with STPQ. Start any that arent started. 

Set all queue limits as detailed in document.
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010195,,"Queue Limits should now be:
Highprior* = 20
Day* =12
Par_Exe* =1
Posturr_Exe* =1"
"  00:00 GMT
19:00 EST",,,,,,,a,DSM Reports,"Process the Disk Space Monitor Reports sent to the mailbox.
See Documentation",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D6449bbbcdb353fc040b62c23ca9619dd%26sysparm_rank%3D5%26sysparm_tsqueryId%3D096a721cdb9a734040b62c23ca961908,,
"  00:30 GMT
19:30 EST",a,a,a,a,a,,,Check total number of jobs,At around 19:30 check check the total number of jobs on the system and fill the totals in on the shift report,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010195,,"BQ 
JD FT:"
"  02:00 GMT
21:00 EST",a,a,a,a,a,a,a,Workstation Backups Begin,"Snaps for these will begin and then their backups will start shortly after. Emails will be received when these start & complete but ensure that you are logged into a CSABNC session and monitoring for failures and OPCOMS.
See Documentation",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D285d16e6db6d3bc81cd6d776489619b5%26sysparm_rank%3D2%26sysparm_tsqueryId%3D6faa725cdb9a734040b62c23ca96199a,,
"  02:45 GMT
21:45 EST",a,a,a,a,a,,,Queue Limit Changes,"Assuming the UBN and UCB1 URRS and XTRACT Jobs are all complete and the Highprior* queue is drained, then you can run the next set of queue changes. If there are still outstanding UBN and UCB1 jobs then hold off on these changes until 22:30 EST
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010195,,"Check UBN and UCB1 queues are drained using:
show queue UBN/all
show queue UCB1/all
The above should show no RS_UR or *XTRACT* Jobs

Queue job limits should now be:
DAY* = 12
HIGHPRIO* = 5
PAR_EXE* = 10
DAY* = 12
POSTURR = 1"
"  03:00 GMT 
22:00 EST",a,a,a,a,a,,,Check Canada (CSCPRC) URRs,Ensure the 16 Canada URRs have started on the CSCPRC Node.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010195,,
"  03:00 GMT
22:00 EST",a,a,a,a,a,a,a,MSGLOGGER Check for Backups,Logon to Umenu and check the URR MSGLOGGER Status,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Dc1da698edb68bb80d3a5d602ca96192a%26sysparm_rank%3D3%26sysparm_tsqueryId%3Db9eafe5cdb9a734040b62c23ca9619ae,,Umenu > Ops > Daily > URRMSG
"  03:00 GMT
22:00 EST",,,a,,,,,Walmart Payroll Processing - SPE503_HLDADD_UPDATE_WMT,"WEDNESDAY DAY - SAME WEEK AS THE US PAYROLL FILE. RUNS AFTER THE URR.
When the WALMART Payroll Proccessing job (SPE503_HLDADD_UPDATE_WMT) is complete, abort the ""CBPEND_PROCESS_WMT"" job. Then using the DENT command, delete it to make sure it isn't re-run.
See Documentation
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010237,,EXTREMELY CRITICAL
"  03:45 GMT
22:45 EST",a,a,a,a,a,,,Bank of New York Mellon - BNY_DAILY_XTRACT Jobs,Check to see that all BNY_DAILY_XTRACT Jobs are completed,,,JD J:BNY_DAILY_XTRACT
"  04:00 GMT
23:00 EST",a,,,,,,,Walmart Payroll File Transfer (US),"MONDAY  ON RECEIPT OF EMAIL - IT IS IMPORTANT THAT YOU CHECK THE DOCUMENTATION AND THE INCLUDED SCHEDULE!
See Documentation
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010237,,EXTREMELY CRITICAL
"  04:00 GMT
23:00 EST",,a,,,,,,Walmart Payroll File Transfer (CANADA),"TUESDAY ON RECEIPT OF EMAIL - IT IS IMPORTANT THAT YOU CHECK THE DOCUMENTATION AND THE INCLUDED SCHEDULE!
See Documentation
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010237,,EXTREMELY CRITICAL
"  04:00 GMT
23:00 EST",,a,,,,,,WALMART PAYROLL FILE TRANSFER (RHODE ISLAND),"TUESDAY ON RECEIPT OF EMAIL - IT IS IMPORTANT THAT YOU CHECK THE DOCUMENTATION AND THE INCLUDED SCHEDULE!
See Documentation
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010237,,EXTREMELY CRITICAL
"  04:00 GMT
23:00 EST",a,a,a,a,a,a,a,Start Defrags for COMMONAPP,,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010233,,Umenu > Ops > Daily > DFG
"  04:30 GMT
23:30 EST",a,a,a,a,a,,,Check Daily Outbound BNYM ADR File Transfer,"Emails with subjects:
##### Pull Outgoing BNYM ADR Transaction File from SCRIP Production (CSAPRC) #####
##### Send Outgoing ADR Transaction Production File to BNY-Mellon #####
Should be received by 04:30AM GMT",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010243,,"If no emails are received, check that APPEND_SORT_BNY_DAILY_TRAN  has completed on Prod. If job has completed but no emails then contact On-Call Data Ops"
"  04:30 GMT
23:30 EST",a,a,a,a,a,,,Start Defrags for the 3 Production Cluster Datadisks,,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010233,,"FOR THE NAMES OF THE 3 DATADISKS TO BE DEFRAGMENTED, REFER TO THE DAILY E-MAIL FROM “System on CSAPRC system@navmsmail.net”  with the subject:
“Daily DEFRAG candidates”. It arrives in the NA group Inbox at approximately 6 PM Eastern Time"
" 04:30 GMT
23:30 EST",a,a,a,a,a,a,a,Start Defrags of DUALLOGDISK4 and DUALLOGDISK5,,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010233,,
"  04:30 GMT
23:30 EST",a,a,a,a,a,a,a,Start Defrags for SCRIPCOYDISK and SCRIPLOGDISK and SCRIPLOG2,,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010233,,
"04:40 GMT
23:40 EST",a,a,a,a,a,a,a,Check for any overrunning backups on Production. Terminate the ones still running,"***TIME CRITICAL***
JD NW_BCK$CSABN* J:CSAPRC
If anything appears, abort it. 
Terminate clone. 
Delete entry.

***DO NOT DELETE AFTER MIDNIGHT EST***


",,,
"  04:53 GMT
11:53 EST",a,a,a,a,a,a,a,Update backup totals on NA shift report,"Around that time we will receive an email with the details of backups, please update totals in the shift report",,,"if email is not received we can use this command in VMS in CSABN cluster instead @OPSCOM:CK_NW_BCKPS , and then update the shift report with the totals."
"  05:00 GMT
00:00 EST",a,a,a,a,a,a,a,CSAPRC & Non-Production Snaps Begin,"Snaps for these will begin, starting with production. Emails will be received when these start & complete but ensure that you are logged into a CSABNC session and monitoring for failures and OPCOMS
See Documentation
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D285d16e6db6d3bc81cd6d776489619b5%26sysparm_rank%3D2%26sysparm_tsqueryId%3D6faa725cdb9a734040b62c23ca96199a,,
"  05:00 GMT
00:00 EST",a,a,a,a,a,,,Queue Limit Changes,"The MAINURR queue should complete all its URRs by 00:00. Assuming the DAY queue is no higher than 4000 you can run the next set of queue changes. On a month end you may see this time vary. If the queue count is high it’s a good idea to let the DAY queues drain to around 4000 before running the changes, therefore on a month end you will probably need to hold off for an hour or so before making these changes.
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010195,,"Queue job limits should now be:
DAY* = 12
HIGHPRIO* = 5
PAR_EXE* = 10
DAY* = 12
POSTURR = 5
"
"  06:00 GMT
01:00 EST",a,a,a,a,a,,,Check for Long Running URRs,"At this point most of the main URRS should be done (unless it’s a month end) and we are just waiting for the rest at 03:00. It’s a good idea to check what is left. 
",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010195,,"JD J:RS_UR

As jobs on NA VMS don’t retain on completion you should only see the URRs left to run at 3am."
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
